,open,high,low,close,volume
1991-01-02,101.125,101.4375,101.109375,101.40625,8332.0
1991-01-03,101.484375,101.65625,101.46875,101.546875,11927.0
1991-01-04,101.578125,101.578125,101.015625,101.171875,9996.0
1991-01-07,101.0,101.0,100.71875,100.734375,11812.0
1991-01-08,100.78125,101.0,100.625,100.640625,19133.0
1991-01-09,100.578125,101.09375,100.234375,100.25,22028.0
1991-01-10,100.296875,100.640625,100.28125,100.609375,13182.0
1991-01-11,100.765625,100.765625,100.4375,100.546875,9836.0
1991-01-14,100.375,100.40625,100.21875,100.390625,8007.0
1991-01-15,100.484375,100.609375,100.4375,100.46875,10351.0
1991-01-16,100.5,100.5625,100.21875,100.375,7490.0
1991-01-17,100.390625,101.21875,100.09375,100.875,11999.0
1991-01-18,100.65625,101.03125,100.484375,101.03125,5774.0
1991-01-21,100.96875,101.03125,100.875,100.984375,2644.0
1991-01-22,100.984375,101.015625,100.828125,100.90625,8239.0
1991-01-23,100.84375,101.09375,100.828125,101.078125,5923.0
1991-01-24,101.09375,101.265625,101.09375,101.265625,9012.0
1991-01-25,101.28125,101.328125,100.984375,101.0,7806.0
1991-01-28,101.015625,101.078125,100.953125,101.046875,5581.0
1991-01-29,101.09375,101.15625,101.03125,101.140625,5986.0
1991-01-30,101.140625,101.265625,101.0,101.15625,9684.0
1991-01-31,101.125,101.328125,101.109375,101.28125,5493.0
1991-02-01,101.296875,102.03125,101.296875,101.890625,19601.0
1991-02-04,101.9375,102.03125,101.90625,102.03125,8095.0
1991-02-05,102.0625,102.234375,102.03125,102.125,13040.0
1991-02-06,102.109375,102.15625,101.96875,102.15625,10410.0
1991-02-07,102.1875,102.21875,101.96875,101.984375,8873.0
1991-02-08,101.96875,102.203125,101.890625,102.125,9538.0
1991-02-11,102.140625,102.28125,102.140625,102.15625,5571.0
1991-02-12,102.1875,102.265625,102.078125,102.1875,12866.0
1991-02-13,102.203125,102.265625,102.125,102.1875,11888.0
1991-02-14,102.234375,102.265625,102.1875,102.203125,9660.0
1991-02-15,102.203125,102.3125,102.046875,102.15625,14188.0
1991-02-19,102.15625,102.15625,101.9375,101.9375,5981.0
1991-02-20,101.9375,101.96875,101.765625,101.78125,11981.0
1991-02-21,101.75,101.859375,101.6875,101.703125,12442.0
1991-02-22,101.65625,101.6875,101.4375,101.5,10714.0
1991-02-25,101.59375,101.609375,101.390625,101.484375,11303.0
1991-02-26,101.5,101.59375,101.28125,101.28125,8698.0
1991-02-27,101.265625,101.3125,101.171875,101.25,10444.0
1991-02-28,101.265625,101.359375,101.078125,101.125,7917.0
1991-03-01,100.90625,100.90625,100.546875,100.609375,10628.0
1991-03-04,100.703125,100.78125,100.65625,100.6875,2953.0
1991-03-05,100.828125,100.859375,100.78125,100.796875,7314.0
1991-03-06,100.9375,100.96875,100.671875,100.71875,1637.0
1991-03-07,100.734375,100.90625,100.734375,100.875,2008.0
1991-03-08,100.953125,101.09375,100.703125,100.71875,5512.0
1991-03-11,100.796875,101.0,100.71875,101.0,2722.0
1991-03-12,101.03125,101.03125,100.828125,100.84375,3790.0
1991-03-13,100.875,101.15625,100.859375,101.140625,3223.0
1991-03-14,101.21875,101.28125,101.140625,101.265625,1986.0
1991-03-15,101.3125,101.3125,100.90625,100.9375,2289.0
1991-03-18,100.90625,100.90625,100.65625,100.703125,1276.0
1991-03-19,100.671875,100.671875,100.125,100.15625,2685.0
1991-03-20,99.625,99.859375,99.59375,99.828125,9463.0
1991-03-21,99.890625,100.125,99.890625,100.078125,6298.0
1991-03-22,100.09375,100.125,100.0,100.109375,5450.0
1991-03-25,100.171875,100.203125,100.0625,100.09375,3587.0
1991-03-26,100.09375,100.109375,99.875,100.046875,6169.0
1991-03-27,100.09375,100.328125,100.0625,100.3125,10458.0
1991-03-28,100.3125,100.546875,100.28125,100.515625,6090.0
1991-04-01,100.40625,100.5625,100.328125,100.484375,3642.0
1991-04-02,100.46875,100.6875,100.421875,100.6875,7930.0
1991-04-03,100.734375,100.75,100.59375,100.671875,7453.0
1991-04-04,100.609375,100.9375,100.546875,100.84375,8410.0
1991-04-05,100.828125,101.09375,100.75,100.84375,7425.0
1991-04-08,100.875,101.0,100.875,100.9375,3830.0
1991-04-09,100.96875,100.96875,100.75,100.78125,5712.0
1991-04-10,100.734375,100.734375,100.40625,100.421875,7298.0
1991-04-11,100.5,100.609375,100.390625,100.46875,8603.0
1991-04-12,100.5625,100.90625,100.5625,100.90625,7066.0
1991-04-15,101.0,101.109375,100.84375,100.9375,10131.0
1991-04-16,100.9375,100.96875,100.8125,100.90625,5281.0
1991-04-17,100.9375,101.0625,100.90625,100.96875,7503.0
1991-04-18,100.96875,100.96875,100.46875,100.5625,12909.0
1991-04-19,100.53125,100.53125,100.28125,100.375,11518.0
1991-04-22,100.3125,100.34375,100.203125,100.234375,4439.0
1991-04-23,100.25,100.46875,100.25,100.375,9981.0
1991-04-24,100.421875,100.71875,100.40625,100.671875,9731.0
1991-04-25,100.671875,100.875,100.59375,100.6875,13142.0
1991-04-26,100.671875,100.765625,100.46875,100.75,10781.0
1991-04-29,100.734375,100.84375,100.65625,100.703125,3749.0
1991-04-30,100.75,101.125,100.609375,100.953125,12006.0
1991-05-01,101.0,101.046875,100.90625,100.984375,12314.0
1991-05-02,101.015625,101.15625,101.015625,101.09375,9902.0
1991-05-03,101.140625,101.171875,100.796875,100.921875,11962.0
1991-05-06,100.625,100.90625,100.625,100.90625,4874.0
1991-05-07,100.984375,101.015625,100.859375,100.875,6443.0
