,open,high,low,close,volume
1991-01-02,98.9375,99.53125,98.9375,,18205.0
1991-01-03,99.46875,99.96875,99.4375,,22934.0
1991-01-04,99.75,99.84375,99.03125,,31142.0
1991-01-07,98.9375,99.0,98.5,,27349.0
1991-01-08,98.53125,98.90625,98.3125,,32803.0
1991-01-09,98.28125,99.125,97.59375,,38621.0
1991-01-10,97.6875,98.3125,97.6875,,25052.0
1991-01-11,98.40625,98.65625,98.0,,22717.0
1991-01-14,97.78125,98.0,97.5625,,22401.0
1991-01-15,98.125,98.25,97.9375,,19575.0
1991-01-16,98.09375,98.25,97.71875,,18829.0
1991-01-17,98.0,99.625,97.5625,,40157.0
1991-01-18,99.125,99.4375,98.5,,28400.0
1991-01-21,99.375,99.375,99.09375,,5429.0
1991-01-22,99.21875,99.34375,98.9375,,20111.0
1991-01-23,99.0,99.34375,98.96875,,11996.0
1991-01-24,99.40625,99.625,99.3125,,12384.0
1991-01-25,99.65625,99.78125,99.15625,,22058.0
1991-01-28,99.15625,99.34375,99.125,,14374.0
1991-01-29,99.28125,99.46875,99.25,,10887.0
1991-01-30,99.40625,99.5625,99.1875,,16036.0
1991-01-31,99.28125,99.5,99.21875,,14643.0
1991-02-01,99.46875,100.40625,99.46875,,39032.0
1991-02-04,100.25,100.46875,100.09375,,11693.0
1991-02-05,100.4375,100.84375,100.40625,,20313.0
1991-02-06,100.625,100.71875,100.34375,,20298.0
1991-02-07,100.75,100.90625,100.46875,,19372.0
1991-02-08,100.40625,101.03125,100.375,,23007.0
1991-02-11,100.84375,101.09375,100.75,,16422.0
1991-02-12,100.875,101.0,100.6875,,16598.0
1991-02-13,100.90625,101.0625,100.75,,16355.0
1991-02-14,100.90625,100.9375,100.65625,,15299.0
1991-02-15,100.6875,101.03125,100.59375,,19374.0
1991-02-19,100.84375,100.84375,100.59375,,9598.0
1991-02-20,100.5625,100.65625,100.3125,,18402.0
1991-02-21,100.28125,100.5,100.125,,27483.0
1991-02-22,100.03125,100.25,99.875,,26397.0
1991-02-25,100.09375,100.125,99.84375,,18535.0
1991-02-26,100.125,100.1875,99.5625,,33583.0
1991-02-27,99.59375,99.6875,99.34375,,27186.0
1991-02-28,99.75,99.75,99.1875,,13730.0
1991-03-01,99.15625,99.15625,98.53125,,17132.0
1991-03-04,98.71875,98.90625,98.6875,,4134.0
1991-03-05,98.59375,99.0625,98.59375,,5843.0
1991-03-06,99.0625,99.15625,98.75,,5212.0
1991-03-07,98.75,99.15625,98.75,,3069.0
1991-03-08,99.34375,99.40625,98.625,,8687.0
1991-03-11,98.6875,99.15625,98.6875,,2725.0
1991-03-12,99.28125,99.375,99.0,,3075.0
1991-03-13,99.0,99.4375,98.96875,,4205.0
1991-03-14,99.5625,99.5625,99.3125,,3501.0
1991-03-15,99.46875,99.46875,98.71875,,2832.0
1991-03-18,98.875,98.9375,98.46875,,1033.0
1991-03-19,98.59375,98.59375,97.8125,,1917.0
1991-03-20,97.34375,97.6875,97.28125,,24790.0
1991-03-21,97.75,98.0625,97.71875,,15706.0
1991-03-22,97.9375,98.03125,97.78125,,10801.0
1991-03-25,98.0625,98.21875,97.9375,,14008.0
1991-03-26,98.0625,98.125,97.75,,15838.0
1991-03-27,98.125,98.5,98.0625,,23844.0
1991-03-28,98.46875,98.8125,98.375,,17413.0
1991-04-01,98.5625,98.84375,98.46875,,12233.0
1991-04-02,98.65625,98.90625,98.5625,,17161.0
1991-04-03,98.9375,98.96875,98.6875,,15071.0
1991-04-04,98.75,99.21875,98.59375,,23450.0
1991-04-05,99.09375,99.53125,99.0,,19255.0
1991-04-08,99.25,99.40625,99.21875,,10755.0
1991-04-09,99.375,99.375,99.0,,20281.0
1991-04-10,99.0,99.03125,98.40625,,17062.0
1991-04-11,98.5625,98.8125,98.4375,,17941.0
1991-04-12,98.59375,99.25,98.59375,,26782.0
1991-04-15,99.34375,99.75,99.34375,,30220.0
1991-04-16,99.53125,99.625,99.3125,,18187.0
1991-04-17,99.59375,99.8125,99.53125,,14499.0
1991-04-18,99.625,99.625,99.0,,23901.0
1991-04-19,99.09375,99.125,98.59375,,22469.0
1991-04-22,98.59375,98.71875,98.28125,,15234.0
1991-04-23,98.34375,98.6875,98.3125,,22355.0
1991-04-24,98.59375,99.0625,98.5,,21395.0
1991-04-25,98.96875,99.15625,98.78125,,21543.0
1991-04-26,98.84375,99.03125,98.34375,,25391.0
1991-04-29,99.0,99.15625,98.84375,,20151.0
1991-04-30,98.9375,99.40625,98.78125,,37252.0
1991-05-01,99.34375,99.46875,99.09375,,22704.0
1991-05-02,99.4375,99.75,99.40625,,21174.0
1991-05-03,99.71875,99.875,99.125,,24900.0
1991-05-06,98.84375,99.125,98.84375,,10904.0
1991-05-07,99.1875,99.34375,99.0,,14419.0
1991-05-08,99.0,99.25,98.84375,,26165.0
