,open,high,low,close,volume
1991-01-02,95.9688,96.8125,95.9688,96.8125,187602.0
1991-01-03,96.75,97.5312,96.6562,97.1875,280367.0
1991-01-04,97.1562,97.2812,96.0312,96.25,343391.0
1991-01-07,95.8438,95.875,95.0312,95.125,273127.0
1991-01-08,95.125,95.625,94.5625,94.625,408029.0
1991-01-09,94.5625,95.8438,93.625,93.7188,442737.0
1991-01-10,93.75,94.6875,93.7188,94.6562,272369.0
1991-01-11,94.875,95.1562,94.1562,94.625,253977.0
1991-01-14,94.1562,94.3125,93.5625,94.0625,250394.0
1991-01-15,94.375,94.5625,94.0312,94.0625,196017.0
1991-01-16,94.25,94.4688,93.75,94.2188,185741.0
1991-01-17,94.2188,96.7812,93.3438,96.5625,442530.0
1991-01-18,96.375,96.875,95.2188,96.6875,358594.0
1991-01-21,96.3438,96.6562,96.125,96.2188,94870.0
1991-01-22,96.1875,96.3438,95.75,96.0,245562.0
1991-01-23,95.9375,96.375,95.75,96.3125,169855.0
1991-01-24,96.4062,96.7812,96.2812,96.6875,208727.0
1991-01-25,96.8125,96.9688,95.9062,95.9375,309802.0
1991-01-28,96.0,96.2188,95.875,96.1562,136967.0
1991-01-29,96.1875,96.5,96.0625,96.375,162675.0
1991-01-30,96.3438,96.6562,96.0,96.1562,230282.0
1991-01-31,96.1875,96.4688,95.9688,96.3125,189905.0
1991-02-01,96.4375,97.6875,96.3125,97.5312,454509.0
1991-02-04,97.5,97.8438,97.25,97.8438,169909.0
1991-02-05,97.8438,98.3438,97.75,98.125,303177.0
1991-02-06,98.0938,98.2188,97.75,98.2188,246462.0
1991-02-07,98.3125,98.5,97.6875,97.7188,352111.0
1991-02-08,97.625,98.6875,97.5625,98.5312,341330.0
1991-02-11,98.5,98.7812,98.2188,98.25,205003.0
1991-02-12,98.3438,98.625,98.0938,98.375,276418.0
1991-02-13,98.375,98.6562,98.125,98.2812,267468.0
1991-02-14,98.3438,98.5,97.9375,98.0,236423.0
1991-02-15,98.0312,98.5938,97.75,98.25,291490.0
1991-02-19,98.3125,98.3125,97.875,97.9688,170229.0
1991-02-20,97.9375,98.125,97.4375,97.5312,290002.0
1991-02-21,97.4688,97.875,97.2812,97.4062,246297.0
1991-02-22,97.2812,97.625,97.0312,97.125,280808.0
